,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hambantota,LK,77.0,broken clouds,6.12,81.12,Bungalow 63
2,Vaini,TO,78.8,scattered clouds,-21.2,-175.2,Keleti Beach Resort
3,Butaritari,KI,83.71,light rain,3.07,172.79,Isles Sunset Lodge
9,Bandarbeyla,SO,80.01,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
12,Penugonda,IN,81.19,overcast clouds,16.67,81.73,Maruthi Residency (Lodge)
13,Balaipungut,ID,75.25,light rain,1.05,101.28,Swee Ann Homestay
18,Keti Bandar,PK,87.3,light rain,24.14,67.45,Haji laloo memon house
19,Bathsheba,BB,84.2,scattered clouds,13.22,-59.52,Atlantis Hotel
21,Holguin,CU,87.8,few clouds,20.89,-76.26,Casa Cables. Holguín
25,Thunder Bay,CA,82.4,scattered clouds,48.4,-89.32,Victoria Inn Hotel and Convention Centre
29,Albany,US,81.0,scattered clouds,42.6,-73.97,
32,Faanui,PF,78.31,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
33,Jamestown,US,75.99,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
36,Batagay-Alyta,RU,77.54,clear sky,67.8,130.41,
44,Dingle,PH,79.66,overcast clouds,11.0,122.67,Camp Pasica
46,Cockburn Town,TC,84.2,scattered clouds,21.46,-71.14,Osprey Beach Hotel
54,Bairiki,KI,86.0,few clouds,1.33,172.98,Tarawa Boutique Hotel
55,Lorengau,PG,84.92,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
60,Quang Ngai,VN,76.91,overcast clouds,15.12,108.8,Central Hotel
62,Kandrian,PG,80.67,moderate rain,-6.22,149.55,Kandrian Station
65,Puerto Ayora,EC,77.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
66,Atuona,PF,80.46,clear sky,-9.8,-139.03,Villa Enata
69,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
73,Mitsamiouli,KM,77.43,clear sky,-11.38,43.28,Foyer ADM
77,Samarai,PG,79.45,broken clouds,-10.62,150.67,Nuli Sapi
78,Kapaa,US,84.2,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
79,Namatanai,PG,79.72,moderate rain,-3.67,152.43,Namatanai Hotel
81,Hilo,US,84.2,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
83,Naze,JP,80.6,broken clouds,28.37,129.48,奄美ポートタワーホテル
85,Vung Tau,VN,80.29,moderate rain,10.35,107.08,Seaside Resort
88,Ormara,PK,84.97,scattered clouds,25.21,64.64,
89,Grants,US,84.2,scattered clouds,35.15,-107.85,"Motel 6 Grants, NM"
91,Kalmunai,LK,79.45,overcast clouds,7.42,81.82,VS Villa
94,Kieta,PG,84.63,light rain,-6.22,155.63,
96,La Crosse,US,80.6,scattered clouds,43.8,-91.24,Holiday Inn & Suites la Crosse - Downtown
97,Kontagora,NG,77.05,light rain,10.4,5.47,City Gate Inn
100,Salalah,OM,84.2,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
101,Armeria,MX,82.4,moderate rain,18.93,-103.97,Hotel la Herradura
106,Hobyo,SO,78.85,broken clouds,5.35,48.53,Osmani Hotel
111,Hithadhoo,MV,84.49,overcast clouds,-0.6,73.08,Scoop Guest House
112,Nishihara,JP,77.0,light rain,26.18,127.76,Minshuku Agaihama
113,Bloomington,US,88.0,scattered clouds,44.84,-93.3,Comfort Inn MSP Airport - Mall Of America
120,Takoradi,GH,77.29,broken clouds,4.88,-1.76,Raybow International Hotel
121,Bay City,US,84.2,clear sky,43.59,-83.89,DoubleTree by Hilton Hotel Bay City - Riverfront
