,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Hermanus,ZA,-34.42,19.23,57.0,76,38,3.0,scattered clouds,0.0,0.0
1,Caravelas,BR,-17.71,-39.25,72.93,84,3,7.7,clear sky,0.0,0.0
2,Aleksandrovskiy Zavod,RU,50.92,117.94,64.96,60,92,3.06,overcast clouds,0.0,0.0
3,Mataura,NZ,-46.19,168.86,45.84,91,99,5.03,light rain,0.23,0.0
4,Carnarvon,AU,-24.87,113.63,68.0,72,8,8.05,clear sky,0.0,0.0
5,Nikolskoye,RU,59.7,30.79,59.0,58,0,6.71,clear sky,0.0,0.0
6,Beloha,MG,-25.17,45.05,62.92,92,0,4.38,clear sky,0.0,0.0
7,Ossora,RU,59.24,163.07,57.79,63,100,8.81,overcast clouds,0.0,0.0
8,Albany,US,42.6,-73.97,73.99,91,76,5.91,light rain,0.66,0.0
9,Punta Arenas,CL,-53.15,-70.92,28.4,86,20,6.93,few clouds,0.0,0.0
10,Devrek,TR,41.22,31.96,63.48,84,0,3.11,clear sky,0.0,0.0
11,Pascagoula,US,30.37,-88.56,91.4,59,1,9.17,clear sky,0.0,0.0
12,San Cristobal,VE,7.77,-72.22,78.8,65,40,25.28,light rain,0.0,0.0
13,Puerto Ayora,EC,-0.74,-90.35,73.0,89,94,5.99,overcast clouds,0.0,0.0
14,Chokurdakh,RU,70.63,147.92,59.54,42,100,6.87,overcast clouds,0.0,0.0
15,Manoel Urbano,BR,-8.84,-69.26,74.39,96,96,2.66,overcast clouds,0.0,0.0
16,Daltenganj,IN,24.03,84.07,79.43,81,81,4.32,light rain,0.15,0.0
17,Arraial Do Cabo,BR,-22.97,-42.03,70.02,77,70,15.41,light rain,0.24,0.0
18,Henties Bay,NA,-22.12,14.28,54.0,89,1,6.91,clear sky,0.0,0.0
19,Alenquer,BR,-1.94,-54.74,77.0,94,40,1.12,scattered clouds,0.0,0.0
20,Grants Pass,US,42.44,-123.33,66.2,42,75,11.41,broken clouds,0.0,0.0
21,Tuktoyaktuk,CA,69.45,-133.04,46.4,81,40,6.93,scattered clouds,0.0,0.0
22,Sao Joao Da Barra,BR,-21.64,-41.05,69.31,85,100,10.0,light rain,0.14,0.0
23,Brodina,RO,47.88,25.42,62.01,10,37,3.49,scattered clouds,0.0,0.0
24,Vila Velha,BR,-20.33,-40.29,71.6,83,75,10.29,broken clouds,0.0,0.0
25,Carutapera,BR,-1.2,-46.02,76.05,92,80,6.44,broken clouds,0.0,0.0
26,Fairbanks,US,64.84,-147.72,66.2,37,1,13.87,clear sky,0.0,0.0
27,Bluff,NZ,-46.6,168.33,49.71,77,73,16.42,light rain,0.14,0.0
28,Cherskiy,RU,68.75,161.3,49.21,55,38,15.05,scattered clouds,0.0,0.0
29,Hilo,US,19.73,-155.09,80.6,65,90,10.29,overcast clouds,0.0,0.0
30,Mayo,US,38.89,-76.51,87.01,55,1,8.05,clear sky,0.0,0.0
31,San Carlos De Bariloche,AR,-41.15,-71.31,34.0,96,90,9.17,shower rain,0.0,0.0
32,Santa Barbara,US,34.42,-119.7,70.0,64,75,11.41,broken clouds,0.0,0.0
33,New Norfolk,AU,-42.78,147.06,39.99,92,2,2.53,clear sky,0.0,0.0
34,Gorbatovka,RU,56.25,43.75,50.0,81,20,6.71,few clouds,0.0,0.0
35,Westport,US,41.14,-73.36,73.99,73,90,1.86,thunderstorm,0.0,0.0
36,Kyra,RU,49.58,111.98,60.84,79,100,3.0,overcast clouds,0.0,0.0
37,Mikhaylovka,RU,50.06,43.24,69.01,69,96,6.46,overcast clouds,0.0,0.0
38,Norman Wells,CA,65.28,-126.83,73.4,25,40,5.82,scattered clouds,0.0,0.0
