City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dresden,DE,2020-06-24 22:21:37,51.05,13.74,62.6,82,87,2.24
1,Port Elizabeth,ZA,2020-06-24 22:14:37,-33.92,25.57,53.6,50,0,5.82
2,Rikitea,PF,2020-06-24 22:15:00,-23.12,-134.97,70.59,55,97,9.8
3,Kushima,JP,2020-06-24 22:22:26,31.46,131.23,75.2,88,90,2.24
4,Cape Town,ZA,2020-06-24 22:15:01,-33.93,18.42,60.01,67,1,11.41
5,Albany,US,2020-06-24 22:13:50,42.6,-73.97,84.0,33,1,10.07
6,Hermanus,ZA,2020-06-24 22:14:00,-34.42,19.23,60.35,60,0,3.89
7,Yellowknife,CA,2020-06-24 22:10:03,62.46,-114.35,71.6,35,75,11.41
8,Mataura,NZ,2020-06-24 22:13:33,-46.19,168.86,45.88,85,53,7.52
9,Washington,US,2020-06-24 22:19:09,47.5,-120.5,88.0,27,0,15.99
10,Broken Hill,AU,2020-06-24 22:14:42,-31.95,141.43,37.4,86,0,3.36
11,Qaanaaq,GL,2020-06-24 22:15:07,77.48,-69.36,39.78,71,76,8.48
12,Tabuk,PH,2020-06-24 22:22:27,17.42,121.44,75.96,87,100,2.77
13,Ilulissat,GL,2020-06-24 22:13:49,69.22,-51.1,41.0,80,29,5.82
14,Norman Wells,CA,2020-06-24 22:13:39,65.28,-126.83,50.0,87,90,10.29
15,Serro,BR,2020-06-24 22:22:28,-18.6,-43.38,57.25,87,47,3.02
16,Punta Arenas,CL,2020-06-24 22:13:34,-53.15,-70.92,39.2,80,75,18.34
17,Anadyr,RU,2020-06-24 22:22:28,64.75,177.48,42.8,87,75,15.66
18,Leningradskiy,RU,2020-06-24 22:13:52,69.38,178.42,34.41,86,100,15.08
19,Hovd,MN,2020-06-24 22:14:29,48.01,91.64,60.39,47,46,6.35
20,Awbari,LY,2020-06-24 22:22:29,26.59,12.78,85.3,17,0,9.06
21,Corn Island,NI,2020-06-24 22:22:29,12.17,-83.04,82.36,79,98,21.5
22,New Norfolk,AU,2020-06-24 22:15:04,-42.78,147.06,50.0,94,92,2.39
23,Bethel,US,2020-06-24 22:14:03,41.37,-73.41,84.99,34,1,13.87
24,Ribeira Grande,PT,2020-06-24 22:14:01,38.52,-28.7,63.52,66,0,10.49
25,Moose Factory,CA,2020-06-24 22:22:30,51.26,-80.61,50.0,93,90,16.11
26,Pecos,US,2020-06-24 22:22:30,31.42,-103.49,89.6,35,1,13.87
27,Aklavik,CA,2020-06-24 22:14:23,68.22,-135.01,46.4,70,90,3.36
28,Sao Filipe,CV,2020-06-24 22:13:53,14.9,-24.5,75.78,84,28,5.95
29,Busselton,AU,2020-06-24 22:12:53,-33.65,115.33,50.0,73,98,6.93
30,Winsum,NL,2020-06-24 22:22:30,53.33,6.52,66.99,82,0,6.93
31,Russell,US,2020-06-24 22:13:36,32.35,-85.2,80.6,88,40,8.99
32,Saint-Philippe,RE,2020-06-24 22:14:03,-21.36,55.77,66.2,82,39,6.93
33,Khatanga,RU,2020-06-24 22:15:01,71.97,102.5,71.85,55,100,10.27
34,Kewanee,US,2020-06-24 22:22:30,41.25,-89.92,80.01,46,1,1.01
35,Castro,BR,2020-06-24 22:11:46,-24.79,-50.01,57.25,87,18,4.65
36,Boyolangu,ID,2020-06-24 22:17:36,-8.12,111.89,73.13,87,98,3.38
37,Asau,RO,2020-06-24 22:13:38,46.43,26.4,60.01,95,3,3.49
38,Providencia,MX,2020-06-24 22:22:31,28.72,-111.58,105.01,30,51,8.01
39,Tiznit,MA,2020-06-24 22:22:31,29.58,-9.5,65.79,80,7,1.34
40,Pandan Niog,PH,2020-06-24 22:14:46,6.23,120.56,83.17,72,99,4.65
41,Touros,BR,2020-06-24 22:15:01,-5.2,-35.46,75.2,78,100,4.7
42,Contamana,PE,2020-06-24 22:22:31,-7.33,-75.02,87.62,56,72,3.78
43,Talnakh,RU,2020-06-24 22:15:00,69.49,88.4,55.4,76,77,4.47
44,Altay,CN,2020-06-24 22:14:35,47.87,88.12,55.96,62,78,1.72
45,Port Hardy,CA,2020-06-24 22:22:32,50.7,-127.42,59.0,77,75,17.22
46,Chuy,UY,2020-06-24 22:13:51,-33.7,-53.46,62.2,98,99,2.19
47,Bluff,NZ,2020-06-24 22:13:41,-46.6,168.33,48.76,84,69,18.7
48,Guerrero Negro,MX,2020-06-24 22:15:00,27.98,-114.06,73.87,56,9,17.0
49,Vaini,TO,2020-06-24 22:14:19,-21.2,-175.2,75.2,78,75,6.93
50,Horsham,GB,2020-06-24 22:22:33,51.06,-0.33,70.0,60,0,9.17
51,Esperance,AU,2020-06-24 22:13:54,-33.87,121.9,42.8,87,0,8.05
52,Ushuaia,AR,2020-06-24 22:13:54,-54.8,-68.3,35.6,100,75,8.05
53,Lodja,CD,2020-06-24 22:17:35,-3.48,23.43,75.04,50,1,1.81
54,Lavrentiya,RU,2020-06-24 22:12:06,65.58,-171.0,39.25,70,100,8.46
55,Hobart,AU,2020-06-24 22:13:39,-42.88,147.33,50.0,93,40,5.01
56,Namibe,AO,2020-06-24 22:15:03,-15.2,12.15,69.51,59,0,6.24
57,Puerto Ayora,EC,2020-06-24 22:13:41,-0.74,-90.35,80.6,61,20,5.82
58,Dikson,RU,2020-06-24 22:15:06,73.51,80.55,39.85,81,99,12.21
59,Barrow,US,2020-06-24 22:15:00,71.29,-156.79,35.6,74,40,6.93
60,Palmeira Das Missoes,BR,2020-06-24 22:22:34,-27.9,-53.31,64.99,78,20,9.82
61,Atuona,PF,2020-06-24 22:13:34,-9.8,-139.03,79.2,69,35,14.79
62,Tucuma,BR,2020-06-24 22:22:34,-0.18,-50.05,77.83,90,34,6.38
63,Torbay,CA,2020-06-24 22:13:57,47.67,-52.73,77.0,69,75,14.99
64,Chernyshevskiy,RU,2020-06-24 22:12:05,63.01,112.47,59.13,88,57,5.08
65,Coihaique,CL,2020-06-24 22:20:33,-45.58,-72.07,37.4,64,20,3.36
